id_user;event_date;event_hour;hour_desc;year_key;quarter_key;quarter_desc;month_key;month_desc;dob;gender;language;registration_date;primary_use;registration_referring_url;flag_optin_email_marketing;user_age;sort_id_age;age_text;Subscribed_to_Email;Commented_on_Blog;Visited_Site;Signup_Newsletter;Watched_Video;Tweeted_Item;Completed_Lead_Form;Tweeted_Blog_Post;Signup_Free_Offer;Added_Item_To_Cart:0_predicted_prob;Added_Item_To_Cart:1_predicted_prob
1249252863;2011-07-20;00;12:00:00 AM - 12:59:59 AM;2011;20113;Q3 2011;201107;Jul;1997/05/05 00:00:00.000;F;English;2011/03/08 00:00:00.000;personel;www.yahoo.com;0;15;2;11-15 years;0;0;0;0;0;0;0;0;0;0.77915;0.22085
100001105331522;2011-07-20;00;12:00:00 AM - 12:59:59 AM;2011;20113;Q3 2011;201107;Jul;1997/03/01 00:00:00.000;F;English;2010/11/03 00:00:00.000;business;www.twitter.com;1;15;2;11-15 years;0;0;0;0;0;0;0;0;0;0.77915;0.22085
100002190478105;2011-07-20;00;12:00:00 AM - 12:59:59 AM;2011;20113;Q3 2011;201107;Jul;1997/06/08 00:00:00.000;F;English;2010/04/04 00:00:00.000;personel;www.twitter.com;0;15;2;11-15 years;0;0;0;0;0;0;0;0;0;0.77915;0.22085
100001009640882;2011-07-20;12;12:00:00 PM - 12:59:59 PM;2011;20113;Q3 2011;201107;Jul;1997/03/05 00:00:00.000;M;French;2011/03/26 00:00:00.000;personel;www.yahoo.com;0;15;2;11-15 years;0;0;0;0;0;0;0;0;0;0.78155;0.21845
100001245981125;2011-07-20;17;5:00:00 PM - 5:59:59 PM;2011;20113;Q3 2011;201107;Jul;2011/07/20 00:00:00.000;M;English;2012/01/19 00:00:00.000;business;www.facebook.com;1;1;1;0-10 years;0;1;0;0;0;0;0;0;0;0.79463;0.20537
100001279903289;2011-07-20;16;4:00:00 PM - 4:59:59 PM;2011;20113;Q3 2011;201107;Jul;2011/06/03 00:00:00.000;M;English;2011/07/08 00:00:00.000;personel;www.ebay.com;0;1;1;0-10 years;0;1;0;0;0;0;0;0;0;0.79463;0.20537
100001419707589;2011-07-20;04;4:00:00 AM - 4:59:59 AM;2011;20113;Q3 2011;201107;Jul;2011/06/04 00:00:00.000;M;Spanish;2011/02/09 00:00:00.000;business;www.google.com;1;1;1;0-10 years;0;1;0;0;0;0;0;0;0;0.8099;0.1901
100002645555712;2011-07-20;00;12:00:00 AM - 12:59:59 AM;2011;20113;Q3 2011;201107;Jul;1994/10/30 00:00:00.000;F;Spanish;2011/10/09 00:00:00.000;business;www.google.com;1;17;3;16-20 years;0;0;0;0;0;0;0;0;0;0.81034;0.18966
100000047533157;2011-07-20;16;4:00:00 PM - 4:59:59 PM;2011;20113;Q3 2011;201107;Jul;1997/05/28 00:00:00.000;F;Spanish;2011/01/14 00:00:00.000;business;www.facebook.com;1;15;2;11-15 years;0;0;0;0;0;0;0;0;0;0.83055;0.16945
1176510401;2011-07-20;09;9:00:00 AM - 9:59:59 AM;2011;20113;Q3 2011;201107;Jul;1993/07/30 00:00:00.000;M;French;2010/08/03 00:00:00.000;business;www.live.com;1;19;3;16-20 years;0;1;0;0;0;0;0;0;0;0.83792;0.16208
100002610876998;2011-07-20;00;12:00:00 AM - 12:59:59 AM;2011;20113;Q3 2011;201107;Jul;1997/08/07 00:00:00.000;M;French;2010/05/25 00:00:00.000;business;www.live.com;1;15;2;11-15 years;0;1;0;0;0;0;0;0;0;0.84385;0.15615
100001149342780;2011-07-20;05;5:00:00 AM - 5:59:59 AM;2011;20113;Q3 2011;201107;Jul;1996/09/18 00:00:00.000;F;Spanish;2010/11/09 00:00:00.000;business;www.live.com;1;16;3;16-20 years;0;0;0;0;0;0;0;0;0;0.85556;0.14444
100002542374650;2011-07-20;14;2:00:00 PM - 2:59:59 PM;2011;20113;Q3 2011;201107;Jul;1993/09/26 00:00:00.000;F;Spanish;2010/03/06 00:00:00.000;business;www.ebay.com;1;19;3;16-20 years;0;0;0;0;0;0;0;0;0;0.85989;0.14011
