ZipCodeID,Zipcode,City,State
1,00704,PARC PARQUE,PR
2,00704,PASEO COSTA DEL SUR,PR
3,00704,SECT LANAUSSE,PR
4,00704,URB EUGENE RICE,PR
5,00704,URB GONZALEZ,PR
6,00704,URB LA FABRICA,PR
7,00704,URB MONTE SORIA 2,PR
8,00704,VILLAS DEL COQUI,PR
9,00705,AIBONITO,PR
10,00705,BDA SAN LUIS,PR
11,00705,BO LLANOS,PR
12,00705,BRISAS DE AIBONITO,PR
13,00705,COLINAS DE SAN FRANCISCO,PR
14,00705,EST DEL LLANO,PR
15,00705,EXT BELLA VISTA,PR
16,00705,EXT SAN LUIS,PR
17,00705,EXT VILLA ROSALES,PR
18,00705,REPTO ROBLES,PR
19,00705,URB BELLA VISTA,PR
20,00705,URB BUENA VISTA,PR
21,00705,URB GOLDEN VLG IV,PR
22,00705,URB LA PROVIDENCIA,PR
23,00705,VILLA DE LA ROSA,PR
24,00705,VILLA ROSALES,PR
25,00705,VILLAS DEL COQUI,PR
26,00610,ANASCO,PR
27,00610,BRISAS DE ANASCO,PR
28,00610,EST DE VALLE VERDE,PR
29,00610,JARD DE ANASCO,PR
30,00610,PASEO DEL VALLE,PR
31,00610,REPTO DAGUEY,PR
32,00610,URB SAN ANTONIO,PR
33,00611,ANGELES,PR
34,00612,ARECIBO,PR
35,00612,ALT DE JUNCOS,PR
36,00612,ALT DE SAN FELIPE,PR
37,00612,BDA DUHAMEL,PR
38,00612,BO EL PASAJE,PR
39,00612,BO ISLOTE,PR
40,00612,BO ISLOTE II,PR
41,00612,BO JAREALITOS,PR
42,00612,BO OBRERO,PR
43,00612,BO SANTANA,PR
44,00612,COMUNIDAD BUENOS AIRES,PR
45,00612,EST DE ARECIBO,PR
46,00612,EST DE BALSEIRO,PR
47,00612,EXT MARISOL,PR
48,00612,EXT TANAMA,PR
49,00612,EXT VILLA LOS SANTOS I,PR
50,00612,EXT VILLA LOS SANTOS II,PR
51,00612,HACIENDA TOLEDO,PR
52,00612,JARD DE ARECIBO,PR
53,00612,JARD DE SAN RAFAEL,PR
54,00612,PARC MATTEY,PR
55,00612,PARC NAVAS,PR
56,00612,PARC PEREZ,PR
57,00601,ADJUNTAS,PR
58,00601,COLINAS DEL GIGANTE,PR
59,00601,JARD DE ADJUNTAS,PR
60,00601,URB SAN JOAQUIN,PR
61,00631,CASTANER,PR
62,00631,ADJUNTAS,PR
63,00602,AGUADA,PR
64,00602,ALTS DE AGUADA,PR
65,00602,BO GUANIQUILLA,PR
66,00602,COMUNIDAD LAS FLORES,PR
67,00602,EXT LOS ROBLES,PR
68,00602,URB ISABEL LA CATOLICA,PR
69,00603,AGUADILLA,PR
70,00603,RAMEY,PR
71,00603,BDA CABAN,PR
72,00603,BDA ESTEVES,PR
73,00603,BO BORINQUEN,PR
74,00603,BO CEIBA BAJA,PR
75,00603,EXT EL PRADO,PR
76,00603,EXT MARBELLA,PR
77,00603,REPTO JIMENEZ,PR
78,00603,REPTO JUAN AGUIAR,PR
79,00603,REPTO LOPEZ,PR
80,00603,REPTO TRES PALMAS,PR
81,00603,SECT LAS VILLAS,PR
82,00603,URB BORINQUEN,PR
83,00603,URB EL PRADO,PR
84,00603,URB ESTEVES,PR
85,00603,URB GARCIA,PR
86,00603,URB LAS AMERICAS,PR
87,00603,URB LAS CASITAS COUNTRY CLUB,PR
88,00603,URB MALEZA GDNS,PR
89,00603,URB MARBELLA,PR
90,00603,URB RAMEY,PR
91,00603,URB RUBIANES,PR
92,00603,URB SAN CARLOS,PR
93,00603,URB SANTA MARTA,PR
94,00603,URB VICTORIA,PR
95,00603,VILLA ALEGRIA,PR
96,00603,VILLA LINDA,PR
97,00603,VILLA LYDIA,PR
98,00603,VILLA UNIVERSITARIA,PR
99,00603,VILLAS DE ALMERIA,PR
100,00603,VISTA ALEGRE,PR
101,00603,VISTA VERDE,PR
102,00604,AGUADILLA,PR
103,00604,RAMEY,PR
104,00605,AGUADILLA,PR
105,00703,AGUAS BUENAS,PR
106,00703,EST DEL RIO,PR
107,00703,MANS DE AGUAS BUENAS,PR
108,00703,URB SAN ANTONIO,PR
109,00704,AGUIRRE,PR
110,00704,EST DE TRINITARIA,PR
111,00704,EXT EL COQUI,PR
112,00704,PARC CABASA,PR
113,07093,MONITOR,NJ
114,07093,TAURUS,NJ
115,07675,WESTWOOD,NJ
